doc_id,dname,gender,qualification,job_specification,hosp_name
1,Sean Clark,M,BPT,Surgeon,Salamaniya Hospital
2,Leslie Murphy,M,Board Certified,Radiologist,Mayo Clinic
3,Susan Wang,M,MD,Opthalmologist,American Mission Hospital
4,Joseph Burns,F,BPT,Surgeon,Mayo Clinic
5,Scott Dorsey,M,D.M.,Dermatologist,Al-Hilal Hospital
6,Carrie Murray,F,D.M.,Anesthologist,Emirates Hospital
7,George Johnson,M,Residency,Surgeon,Al-Hilal Hospital
8,Johnny Powell,M,Residency,Surgeon,Emirates Hospital
9,Alex Riley,M,MD,Opthalmologist,American Mission Hospital
10,Vanessa Cole,M,Residency,Nephrologist,Emirates Hospital
11,Wendy Warren,M,Board Certified,Physiotherapist,Bahrain Defence Force Hospital
12,Lisa Gonzalez,F,MBBS,Psychiatrist,American Mission Hospital
13,Scott Martinez,M,Board Certified,Physiotherapist,Dar Al Shifa Hospital
14,Paul Murphy,F,BPT,Dermatologist,Mayo Clinic
15,Edward Becker,M,MS,Pediatrician,Salamaniya Hospital
16,Dr. Angela Le,M,MD,Dermatologist,Dar Al Shifa Hospital
17,Lisa Wood,F,Residency,Radiologist,American Mission Hospital
18,Holly Rollins,M,BPT,Anatomy,Mayo Clinic
19,April Lewis,M,D.M.,Pediatrician,Emirates Hospital
20,Michelle Skinner,M,BPT,Anatomy,Dar Al Shifa Hospital
21,Thomas Rush,M,MBBS,Pediatrician,King Hamad University Hospital
22,Shannon Lewis,M,MBBS,Nephrologist,Dar Al Shifa Hospital
23,Tiffany Glover,M,D.M.,Surgeon,King Faisal Specialist Hospital & Research Centre
24,Stephanie Patterson MD,F,Board Certified,Surgeon,Emirates Hospital
25,Jeffrey Best,M,MS,Opthalmologist,Al-Hilal Hospital
26,Lindsey Edwards,M,Board Certified,Opthalmologist,Dar Al Shifa Hospital
27,Michael Brewer,F,D.M.,Pediatrician,King Faisal Specialist Hospital & Research Centre
28,Lisa Burgess,M,MD,Physiotherapist,Bahrain Defence Force Hospital
29,Karen Mann,F,BPT,Physiotherapist,Dar Al Shifa Hospital
30,John Chung,M,MBBS,Opthalmologist,King Faisal Specialist Hospital & Research Centre
31,Mark Jenkins,F,MD,Psychiatrist,American Mission Hospital
32,Samantha Lawson,M,D.M.,Nephrologist,King Faisal Specialist Hospital & Research Centre
33,Barbara Romero,M,MS,Radiologist,American Mission Hospital
34,Nathan Knight,M,Residency,Opthalmologist,Salamaniya Hospital
35,Mary Wilson,M,Board Certified,Dermatologist,Dar Al Shifa Hospital
36,Christopher Flynn,M,D.M.,Anesthologist,Emirates Hospital
37,Jeff Aguilar,M,MS,Nephrologist,Bahrain Defence Force Hospital
38,Cory Jackson,M,Residency,Anesthologist,Salamaniya Hospital
39,Brian Parker,M,MS,Psychiatrist,Bahrain Defence Force Hospital
40,Kelly Fernandez,M,Residency,Surgeon,American Mission Hospital
41,Michael Jones,M,Residency,Opthalmologist,Bahrain Defence Force Hospital
42,Brittany Cantrell,M,Board Certified,Opthalmologist,American Mission Hospital
43,Zachary Allen,M,Board Certified,Physiotherapist,King Hamad University Hospital
44,Heather Arnold,M,Residency,Physiotherapist,King Faisal Specialist Hospital & Research Centre
45,Jonathan Hamilton,M,MD,Anesthologist,Bahrain Defence Force Hospital
46,Brenda French,M,D.M.,Nephrologist,Dar Al Shifa Hospital
47,Colton Rowe,M,MD,Anatomy,Emirates Hospital
48,Thomas Morales,M,MBBS,Nephrologist,Emirates Hospital
49,Edward Johnston,F,Board Certified,Physiotherapist,Bahrain Defence Force Hospital
50,Ann Jenkins,M,BPT,Pediatrician,Mayo Clinic
51,Edward Melton,M,BPT,Dermatologist,American Mission Hospital
52,Wesley Robinson,F,D.M.,Anesthologist,Emirates Hospital
53,Anthony Valdez,F,BPT,Nephrologist,Mayo Clinic
54,James French,M,MBBS,Anesthologist,Mayo Clinic
55,Lynn Stephens MD,M,Board Certified,Surgeon,Dar Al Shifa Hospital
56,Donald Ayala,M,D.M.,Surgeon,American Mission Hospital
57,Julia Morris,M,MBBS,Anesthologist,Dar Al Shifa Hospital
58,Amanda Hall,F,Residency,Opthalmologist,King Faisal Specialist Hospital & Research Centre
59,Carl Baker,M,MS,Opthalmologist,King Hamad University Hospital
60,Donald Mcgee,M,BPT,Opthalmologist,Salamaniya Hospital
61,Jason Patton,M,D.M.,Opthalmologist,Dar Al Shifa Hospital
62,Veronica Gibson,M,MS,Opthalmologist,Al-Hilal Hospital
63,Michael Henderson,M,MBBS,Nephrologist,Bahrain Defence Force Hospital
64,Robin Warren,M,BPT,Pediatrician,King Hamad University Hospital
65,Darren Morris,M,MS,Anesthologist,Salamaniya Hospital
66,Kevin Lee,F,BPT,Psychiatrist,American Mission Hospital
67,Megan Luna,M,D.M.,Nephrologist,Al-Hilal Hospital
68,Evan Davis,F,MBBS,Nephrologist,Salamaniya Hospital
69,Robert Davis,M,MS,Anesthologist,Al-Hilal Hospital
70,Kristina Marshall,M,Board Certified,Pediatrician,Emirates Hospital
71,Amanda Johnson,F,MS,Anatomy,Al-Hilal Hospital
72,Sara Massey,M,D.M.,Anatomy,American Mission Hospital
73,April Baker,M,Residency,Dermatologist,King Faisal Specialist Hospital & Research Centre
74,Alexander Davis,M,MBBS,Anatomy,Bahrain Defence Force Hospital
75,Tristan Bennett,M,Residency,Opthalmologist,King Faisal Specialist Hospital & Research Centre
76,Albert Baldwin,M,MD,Opthalmologist,King Hamad University Hospital
77,Robin Nelson MD,M,Board Certified,Dermatologist,Bahrain Defence Force Hospital
78,Andrew Romero,M,MS,Nephrologist,Al-Hilal Hospital
79,Melissa Butler,M,MBBS,Psychiatrist,Dar Al Shifa Hospital
80,Clarence Hansen,M,Residency,Nephrologist,Al-Hilal Hospital
81,Justin Flores,M,D.M.,Anesthologist,King Hamad University Hospital
82,Jimmy Friedman,M,MD,Opthalmologist,King Hamad University Hospital
