nurse_id,name,gender,doc_id,hosp_name
1,Dr. Andrea Boyd,M,260,Salamaniya Hospital
2,David Berry,F,2778,St Thomas Hospital London
3,Derek Figueroa,M,744,Emirates Hospital
4,Jeremy Wright,F,1390,Emirates Hospital
5,Wendy Gibson,F,1781,King Faisal Specialist Hospital & Research Centre
6,Mary Parker,M,2686,Bahrain Defence Force Hospital
7,Stephanie Johnson,F,2146,American Mission Hospital
8,Lucas Flores,F,83,St Thomas Hospital London
9,Rebecca Wilson,F,565,Emirates Hospital
10,James Alexander,F,2426,St Thomas Hospital London
11,Lindsey Aguilar,F,1074,American Mission Hospital
12,John Marsh,F,47,Emirates Hospital
13,Megan Delacruz,M,406,Bahrain Defence Force Hospital
14,Bradley Butler,F,705,Bahrain Defence Force Hospital
15,Jessica Brooks,F,2107,Mayo Clinic
16,Kimberly Medina,F,167,Mayo Clinic
17,Joseph White,M,1097,Dar Al Shifa Hospital
18,Jeremy Juarez,F,902,American Mission Hospital
19,Austin Kane,M,191,Bahrain Defence Force Hospital
20,Kathleen Perez,F,2910,Al-Hilal Hospital
21,Christopher Parker,F,2049,Dar Al Shifa Hospital
22,Brad Garcia,F,833,Bahrain Defence Force Hospital
23,Nicholas Calderon MD,F,175,Al-Hilal Hospital
24,Penny King,F,788,King Faisal Specialist Hospital & Research Centre
25,Christopher Hodge,F,2074,Al-Hilal Hospital
26,Cassie Newton,F,2550,King Faisal Specialist Hospital & Research Centre
27,Emily Alvarez,F,1166,Mayo Clinic
28,Christopher Gardner,F,1605,Al-Hilal Hospital
29,Steven Bass,F,204,Dar Al Shifa Hospital
30,Glen Olson,F,1897,St Thomas Hospital London
31,Jon Thomas,M,2721,Bahrain Defence Force Hospital
32,Michael Hardin,F,1108,American Mission Hospital
33,Christopher Hawkins,F,2294,Dar Al Shifa Hospital
34,Paula Murphy,F,919,St Thomas Hospital London
35,Louis Murillo,F,1669,Al-Hilal Hospital
36,Sean Bates,M,2899,Salamaniya Hospital
37,Kristy Green,F,1897,St Thomas Hospital London
38,Michele Murphy,F,1109,Al-Hilal Hospital
39,Kathy Wright,M,65,American Mission Hospital
40,Katelyn Jimenez,F,69,Emirates Hospital
41,Eric Nelson,F,2548,Emirates Hospital
42,Mathew Williams,F,2354,American Mission Hospital
