ssn,fname,lname,age,gender,nurse_id,rec_id
100000001,Trevor,Foster,16,M,8359,128
100000002,Carolyn,Hughes,16,F,4982,073
100000003,Melinda,Patterson,65,M,8037,135
100000004,Omar,Fox,23,M,5993,089
100000005,Amanda,Mcpherson,20,M,28923,296
100000006,Cheryl,Cherry,41,F,446,119
100000007,Dale,Castro,22,M,4352,223
100000008,Mark,Savage,54,F,24770,230
100000009,Jose,Garcia,63,F,28493,224
100000010,James,Fletcher,45,F,8140,333
100000011,Ryan,Powell,25,M,19638,269
100000012,Jessica,Bowers,32,F,518,212
100000013,Eric,Cuevas,45,M,19953,142
100000014,Ryan,Harris,17,M,5556,293
100000015,Robert,Carey,27,M,19791,286
100000016,Miguel,Valdez,17,F,4106,045
100000017,Seth,Martin,79,M,18579,272
100000018,Amanda,Robertson,30,F,19880,149
100000019,Casey,Hudson,14,F,20582,049
100000020,Pamela,Duke,66,M,18867,281
100000021,Holly,Davis,15,F,19198,082
100000022,Kelly,Collins,74,F,20504,061
100000023,John,Lee,75,M,23408,315
100000024,Robin,Evans,20,F,14779,196
100000025,Charles,Sharp,39,M,27098,046
100000026,Valerie,Stephens,77,M,11639,284
100000027,Larry,Galloway,25,F,11791,217
100000028,Charles,Willis,19,F,9602,138
100000029,Raymond,Salazar,16,M,15472,166
100000030,Jeffrey,Brown,78,M,1349,146
100000031,Victor,James,26,F,1631,338
100000032,Christine,May,30,F,26873,168
100000033,Kristin,Ferguson,32,F,26826,042
100000034,Daniel,Gordon,21,F,19266,207
100000035,Ashley,Ayala,21,F,23280,231
100000036,Greg,Garcia,80,F,20096,238
100000037,Renee,Snyder,80,M,1658,319
100000038,Kelly,Smith,22,F,24904,064
100000039,Larry,Coffey,26,M,3272,335
100000040,Jeremy,Valdez,79,F,19281,246
100000041,Sarah,Owens,40,F,13455,316
100000042,Joshua,Carter,63,F,19409,076
100000043,Michele,Ward,39,F,3765,102
100000044,Timothy,Washington,63,M,23544,188
100000045,Hannah,Long,24,M,4333,310
100000046,Stephanie,Bradshaw,13,F,21299,043
100000047,Jeremy,Delacruz,79,F,22326,054
100000048,Kenneth,Allen,66,M,2983,241
100000049,Antonio,Black,72,F,20687,156
100000050,David,Bishop,64,F,20732,290
100000051,Zachary,Mooney,31,F,27070,121
100000052,Autumn,Fletcher,14,F,22602,050
100000053,Kenneth,Mayer,46,M,25796,077
100000054,Andrea,Nelson,15,F,27913,170
100000055,Candace,Anderson,42,M,14832,311
100000056,Eric,Green,49,F,1638,162
100000057,Colleen,Ellis,45,F,1315,110
100000058,Jorge,Smith,39,F,3264,215
100000059,Mathew,Myers,31,M,7692,130
100000060,Alan,White,35,F,10680,041
100000061,Nicole,Mendez,78,M,12035,152
100000062,Misty,Sanders,32,F,12411,184
100000063,Courtney,Carpenter,44,F,6716,265
100000064,Derrick,Santos,55,M,5551,083
100000065,Cameron,Alvarez,30,M,4322,279
100000066,Gregory,Hunt,80,F,23087,074
100000067,David,Brown,63,F,27758,242
100000068,Colleen,Lee,35,F,26813,048
100000069,Daniel,Gay,53,F,17626,145
100000070,Erin,Henry,40,M,1624,120
100000071,Vicki,Young,77,F,29961,097
100000072,Mark,Acosta,75,M,9755,300
100000073,Renee,Brown,56,F,17144,221
100000074,Sarah,Johnson,74,M,22945,303
100000075,Matthew,Hansen,67,M,14876,160
100000076,Marc,Aguilar,14,M,6420,256
100000077,Theresa,Roberts,60,F,25556,236
100000078,Ernest,Martinez,42,M,17905,093
100000079,Lisa,Leon,61,F,16772,312
100000080,Melissa,Flowers,14,F,14465,087
100000081,Sara,Cruz,55,F,25910,161
100000082,Michelle,Flowers,71,M,5282,323
