ssn,reg_no
100000001, 21
100000002, 24
100000002, 28
100000002, 21
100000002, 23
100000003, 28
100000003, 20
100000003, 29
100000004, 22
100000004, 22
100000004, 27
100000005, 26
100000006, 28
100000006, 25
100000006, 28
100000007, 22
100000007, 28
100000007, 24
100000007, 27
100000008, 23
100000008, 24
100000009, 21
100000010, 25
100000011, 23
100000011, 26
100000011, 24
100000011, 21
100000012, 25
100000012, 29
100000013, 28
100000013, 23
100000013, 28
100000013, 21
100000014, 29
100000014, 29
100000014, 22
100000015, 29
100000015, 28
100000016, 27
100000016, 28
100000016, 27
100000017, 28
100000017, 22
100000018, 22
100000019, 28
100000019, 20
100000020, 26
100000020, 22
100000020, 29
100000020, 23
100000021, 21
100000022, 22
100000022, 20
100000022, 29
100000023, 24
100000024, 29
100000024, 20
100000024, 27
100000025, 25
100000025, 25
100000025, 24
100000025, 29
100000026, 20
100000026, 26
100000026, 28
100000027, 20
100000028, 29
100000029, 26
100000029, 24
100000029, 23
100000029, 20
100000030, 20
100000030, 25
100000031, 26
100000031, 24
100000031, 20
100000032, 21
100000032, 23
100000032, 20
100000033, 27
100000033, 26
100000034, 25
100000034, 27
100000034, 24
100000034, 24
100000035, 25
100000035, 24
100000035, 25
100000035, 21
100000036, 27
100000036, 28
100000037, 20
100000037, 20
100000037, 22
100000038, 26
100000039, 28
100000040, 29
100000040, 26
100000041, 28
100000041, 22
100000042, 23
100000042, 28
100000043, 22
100000043, 28
100000043, 22
100000043, 20
100000044, 20
100000044, 23
100000044, 21
100000044, 22
100000045, 28
100000045, 25
100000046, 20
100000046, 26
100000046, 20
100000046, 22
100000047, 25
100000047, 29
100000047, 25
100000048, 23
100000048, 21
100000049, 21
100000049, 26
100000049, 22
100000049, 21
100000050, 24
100000050, 21
100000050, 25
100000051, 23
100000051, 21
100000051, 24
100000052, 22
100000052, 28
100000052, 27
100000053, 22
100000053, 22
100000053, 22
100000054, 21
100000054, 27
100000054, 25
100000054, 20
100000055, 29
100000056, 28
100000056, 29
100000056, 24
100000056, 25
100000057, 23
100000057, 20
100000058, 27
100000058, 28
100000058, 26
100000058, 27
100000059, 22
100000059, 23
100000059, 24
