visit_date,ssn,hosp_name
2020/6/15,100000092,Al-Hilal Hospital
2019/5/27,100000252,King Hamad University Hospital
2019/4/15,100000130,Al-Hilal Hospital
2021/6/11,100000083,Emirates Hospital
2021/8/16,100000051,King Faisal Specialist Hospital & Research Centre
2019/4/2,100000221,American Mission Hospital
2021/5/10,100000142,Mayo Clinic
2019/2/14,100000197,St Thomas Hospital London
2019/11/18,100000129,King Hamad University Hospital
2020/10/20,100000292,King Hamad University Hospital
2019/4/6,100000298,King Hamad University Hospital
2020/5/7,100000289,Dar Al Shifa Hospital
2021/5/12,100000140,King Faisal Specialist Hospital & Research Centre
2021/3/12,100000254,Salamaniya Hospital
2019/2/20,100000095,Bahrain Defence Force Hospital
2021/5/11,100000045,St Thomas Hospital London
2019/4/22,100000297,Al-Hilal Hospital
2019/2/6,100000127,King Hamad University Hospital
2021/4/18,100000197,Al-Hilal Hospital
2021/3/2,100000178,Dar Al Shifa Hospital
2021/4/25,100000185,St Thomas Hospital London
2020/8/12,100000193,Bahrain Defence Force Hospital
2019/2/2,100000103,Dar Al Shifa Hospital
2020/9/12,100000197,St Thomas Hospital London
2020/8/6,100000147,King Faisal Specialist Hospital & Research Centre
2020/5/4,100000048,Salamaniya Hospital
2021/3/25,100000267,King Hamad University Hospital
2021/10/6,100000220,Al-Hilal Hospital
2019/8/9,100000014,King Hamad University Hospital
2020/7/8,100000286,Al-Hilal Hospital
2020/3/12,100000140,Al-Hilal Hospital
2020/1/15,100000210,Salamaniya Hospital
2019/10/14,100000034,Emirates Hospital
2020/2/26,100000048,Mayo Clinic
2019/9/11,100000248,Dar Al Shifa Hospital
2021/1/6,100000241,King Faisal Specialist Hospital & Research Centre
2020/6/17,100000055,Salamaniya Hospital
2019/9/18,100000222,St Thomas Hospital London
2019/11/4,100000259,Salamaniya Hospital
2021/10/26,100000201,Mayo Clinic
2020/6/19,100000243,King Faisal Specialist Hospital & Research Centre
2020/1/23,100000096,King Faisal Specialist Hospital & Research Centre
2019/3/15,100000135,Mayo Clinic
2021/8/1,100000276,Emirates Hospital
2019/5/15,100000232,Dar Al Shifa Hospital
2021/1/1,100000108,American Mission Hospital
2021/3/10,100000181,King Faisal Specialist Hospital & Research Centre
2020/6/26,100000216,King Faisal Specialist Hospital & Research Centre
2021/5/11,100000024,Mayo Clinic
2019/10/5,100000198,Al-Hilal Hospital
2020/11/22,100000189,Mayo Clinic
2021/7/2,100000035,American Mission Hospital
2019/1/1,100000113,Emirates Hospital
2020/8/12,100000092,American Mission Hospital
2021/5/21,100000174,Salamaniya Hospital
2021/10/7,100000085,American Mission Hospital
2020/2/10,100000241,King Hamad University Hospital
2019/7/7,100000288,Salamaniya Hospital
2021/1/4,100000147,St Thomas Hospital London
2020/1/6,100000208,Mayo Clinic
2021/8/26,100000247,St Thomas Hospital London
2020/11/26,100000191,St Thomas Hospital London
2021/6/10,100000201,Emirates Hospital
2019/4/27,100000007,Dar Al Shifa Hospital
2019/1/10,100000153,Dar Al Shifa Hospital
2021/3/19,100000052,American Mission Hospital
2021/10/24,100000037,Salamaniya Hospital
2019/7/5,100000119,Emirates Hospital
2020/7/2,100000085,Salamaniya Hospital
2021/3/2,100000127,Mayo Clinic
2021/7/26,100000265,Mayo Clinic
2020/5/23,100000012,Mayo Clinic
2019/5/1,100000184,American Mission Hospital
2019/8/11,100000297,Bahrain Defence Force Hospital
2019/10/4,100000243,Bahrain Defence Force Hospital
2021/1/5,100000249,St Thomas Hospital London
2021/10/22,100000240,Mayo Clinic
2020/7/14,100000055,King Hamad University Hospital
2020/3/24,100000127,St Thomas Hospital London
2021/7/26,100000103,Salamaniya Hospital
2020/11/2,100000166,Al-Hilal Hospital
2021/6/3,100000286,Dar Al Shifa Hospital
2020/6/18,100000256,Emirates Hospital
2020/10/5,100000003,King Hamad University Hospital
2021/8/5,100000178,Mayo Clinic
2021/9/14,100000213,Dar Al Shifa Hospital
2020/3/15,100000137,Salamaniya Hospital
2019/4/16,100000249,King Hamad University Hospital
2020/7/7,100000010,Al-Hilal Hospital
2021/3/26,100000274,King Faisal Specialist Hospital & Research Centre
2020/4/22,100000156,Bahrain Defence Force Hospital
2020/5/18,100000061,Bahrain Defence Force Hospital
2019/11/16,100000175,King Hamad University Hospital
2021/10/10,100000287,Mayo Clinic
2019/6/7,100000292,Al-Hilal Hospital
2021/9/23,100000177,American Mission Hospital
2020/3/11,100000216,Salamaniya Hospital
2019/1/9,100000275,Mayo Clinic
2019/1/14,100000262,American Mission Hospital
2021/9/2,100000016,King Hamad University Hospital
